"Alias","Run","Habitat","Individual","Dataset","Acc.no","total.input.read..pairs.","Rejected.1st.read.pair","Rejected.2nd.read.pair","Accepted.1st.read.pair","Accepted.2nd.read.pair","Singleton.1st.read.pair","Singleton.2nd.read.pair","Avg.read.length","AvgQual.read.quality..if.quality.information.available.","average.accumulated.Error","Latitude","Longitude","Date.when.the.sample.was.collected."
"S181","ERR1877663","Southern_temperate_forests","-","Global_soil","ENA_ERP020652",1167315,53583,452166,1113732,715149,401397,2814,236,35.2,0.892,"-42.83","146.37","11/5/2012"
"S187","ERR1877676","Temperate_deciduous_forests","-","Global_soil","ENA_ERP020652",1132673,38176,460074,1094497,672599,424208,2310,237,35.3,0.917,"39.96","115.42","2012-10"
"G2677","ERR1877678","Tropical_montane_forests","-","Global_soil","ENA_ERP020652",24771394,4705625,7838283,20065769,16933111,4657952,1525294,23.7,35.9,0.832,"-6.02","145.42","11/21/2011"
"G2677","ERR1877679","Tropical_montane_forests","-","Global_soil","ENA_ERP020652",24771394,4705625,7838283,20065769,16933111,4657952,1525294,23.7,35.9,0.832,"-6.02","145.42","11/21/2011"
"G2677","ERR1877680","Tropical_montane_forests","-","Global_soil","ENA_ERP020652",24771394,4705625,7838283,20065769,16933111,4657952,1525294,23.7,35.9,0.832,"-6.02","145.42","11/21/2011"
"G2677","ERR1877681","Tropical_montane_forests","-","Global_soil","ENA_ERP020652",24771394,4705625,7838283,20065769,16933111,4657952,1525294,23.7,35.9,0.832,"-6.02","145.42","11/21/2011"
"G2677","ERR1877682","Tropical_montane_forests","-","Global_soil","ENA_ERP020652",24771394,4705625,7838283,20065769,16933111,4657952,1525294,23.7,35.9,0.832,"-6.02","145.42","11/21/2011"
"G2677","ERR1877683","Tropical_montane_forests","-","Global_soil","ENA_ERP020652",24771394,4705625,7838283,20065769,16933111,4657952,1525294,23.7,35.9,0.832,"-6.02","145.42","11/21/2011"
"G2677","ERR1877684","Tropical_montane_forests","-","Global_soil","ENA_ERP020652",24771394,4705625,7838283,20065769,16933111,4657952,1525294,23.7,35.9,0.832,"-6.02","145.42","11/21/2011"
"G2660","ERR1877685","Moist_tropical_forests","-","Global_soil","ENA_ERP020652",14494963,850654,4281573,13644309,10213390,3554421,123502,234,34.8,1.02,"-9.42","147.37","11/8/2011"
